s-TER,s-AER,SR-TER,SR-AER,DF-TER,DF-AER
3.19,3.55,1.48,1.29,37.172,33.533
3.44,3.35,1.40,1.26,38.558,34.436
3.36,3.17,1.33,1.42,38.160,36.590
3.53,3.32,1.30,1.26,36.687,32.866
3.59,3.48,1.42,1.32,39.154,34.965
3.49,3.41,1.27,1.30,35.677,34.013
3.31,3.47,1.42,1.31,38.988,32.525
3.17,3.21,1.44,1.23,39.885,30.809
3.19,3.34,1.33,1.31,40.378,35.259
3.55,3.50,1.29,1.40,34.277,34.020
4.30,4.16,1.50,1.31,30.529,30.488
4.42,4.39,1.39,1.33,33.832,29.542
3.95,4.44,1.28,1.48,34.749,27.960
4.05,4.06,1.38,1.35,36.010,29.780
4.43,4.22,1.43,1.34,33.012,30.905
4.23,4.36,1.32,1.36,33.548,28.775
4.07,4.25,1.45,1.38,36.005,30.215
4.05,4.16,1.46,1.27,33.297,27.487
4.08,4.36,1.36,1.34,35.390,30.762
4.24,4.36,1.35,1.42,31.856,31.083
5.18,4.88,1.52,1.35,26.481,27.489
5.19,5.08,1.47,1.37,33.133,26.599
4.85,4.97,1.32,1.56,31.074,27.796
4.79,4.86,1.44,1.42,33.132,27.814
4.92,5.00,1.47,1.41,31.362,27.991
4.79,4.76,1.38,1.43,31.956,27.931
5.06,5.01,1.61,1.42,34.285,27.454
5.01,5.13,1.52,1.37,30.006,24.503
4.97,4.82,1.42,1.35,32.585,29.011
4.86,5.03,1.41,1.50,30.462,29.158